study name,process a,process b,subgroup,model type,n,r intercept,r slope,r residual
eas,pef,digit_tot,male,ae,379,"--,p=  ----","--,p=  ----","--,p=  ----"
eas,pef,digit_tot,male,aeh,72,"--,p=  ----","--,p=  ----","--,p=  ----"
eas,pef,digit_tot,male,aehplus,72,"--,p=  ----","--,p=  ----","--,p=  ----"
eas,pef,digit_tot,male,full,72,"--,p=  ----","--,p=  ----","--,p=  ----"
eas,pef,fas,male,a,358,"--,p=  ----","--,p=  ----","--,p=  ----"
eas,pef,symbol,female,a,592,"--,p=  ----","--,p=  ----","--,p=  ----"
eas,pef,symbol,female,ae,592,"--,p=  ----","--,p=  ----","--,p=  ----"
eas,pef,symbol,female,aeh,150,"--,p=  ----","--,p=  ----","--,p=  ----"
eas,pef,symbol,female,aehplus,150,"--,p=  ----","--,p=  ----","--,p=  ----"
eas,pef,symbol,female,full,150,"--,p=  ----","--,p=  ----","--,p=  ----"
eas,pef,symbol,male,a,377,"--,p=  ----","--,p=  ----","--,p=  ----"
eas,pef,symbol,male,ae,377,"--,p=  ----","--,p=  ----","--,p=  ----"
eas,pef,symbol,male,aeh,72,"--,p=  ----","--,p=  ----","--,p=  ----"
eas,pef,symbol,male,aehplus,72,"--,p=  ----","--,p=  ----","--,p=  ----"
eas,pef,symbol,male,full,72,"--,p=  ----","--,p=  ----","--,p=  ----"
eas,pef,trailsb,female,a,580,"--,p=  ----","--,p=  ----","--,p=  ----"
eas,pef,trailsb,female,ae,580,"--,p=  ----","--,p=  ----","--,p=  ----"
eas,pef,trailsb,female,aeh,150,"--,p=  ----","--,p=  ----","--,p=  ----"
eas,pef,trailsb,female,aehplus,150,"--,p=  ----","--,p=  ----","--,p=  ----"
eas,pef,trailsb,female,full,150,"--,p=  ----","--,p=  ----","--,p=  ----"
eas,pef,trailsb,male,ae,368,"--,p=  ----","--,p=  ----","--,p=  ----"
eas,pef,trailsb,male,aeh,72,"--,p=  ----","--,p=  ----","--,p=  ----"
eas,pef,trailsb,male,aehplus,72,"--,p=  ----","--,p=  ----","--,p=  ----"
eas,pef,trailsb,male,full,72,"--,p=  ----","--,p=  ----","--,p=  ----"
elsa,fev,word_de,female,aehplus,"3,511","  0.05(0.04),p=.25"," -0.43(1.05),p=.68","  0.01(0.03),p=.56"
elsa,fev,word_de,male,aehplus,"3,091","  0.06(0.04),p=.16"," -0.22(0.39),p=.58","  0.03(0.03),p=.27"
elsa,fev,word_im,female,aehplus,"3,511","  0.07(0.04),p=.09"," -0.16(0.43),p=.71","  0.02(0.02),p=.28"
elsa,fev,word_im,male,aehplus,"3,091","  0.06(0.04),p=.15"," -0.11(0.18),p=.53","  0.05(0.02),p=.06"
elsa,fev100,word_de,female,aehplus,"3,511","  0.05(0.04),p=.24"," -0.43(0.41),p=.29","  0.01(0.02),p=.54"
elsa,fev100,word_de,male,aehplus,"3,091","  0.06(0.04),p=.15"," -0.22(0.33),p=.51","  0.03(0.02),p=.25"
elsa,fev100,word_im,female,aehplus,"3,511","  0.07(0.04),p=.08"," -0.16(0.33),p=.63","  0.02(0.02),p=.24"
elsa,fev100,word_im,male,aehplus,"3,091","  0.06(0.04),p=.15"," -0.11(0.17),p=.52","  0.05(0.02),p=.06"
elsa,gait,fluency,female,aehplus,"3,510","  0.19(0.03),p<.01","  0.22(0.16),p=.18","  0.04(0.02),p=.04"
elsa,gait,fluency,male,aehplus,"3,090","  0.22(0.04),p<.01","  0.12(0.25),p=.63","  0.00(0.02),p=.89"
elsa,gait,word_de,female,aehplus,"3,510","  0.21(0.04),p<.01","  0.24(0.22),p=.27"," -0.02(0.02),p=.35"
elsa,gait,word_de,male,aehplus,"3,090","  0.23(0.04),p<.01"," -0.07(0.21),p=.74","  0.03(0.02),p=.16"
elsa,gait,word_im,female,aehplus,"3,510","  0.22(0.04),p<.01","  0.30(0.19),p=.11","  0.02(0.02),p=.18"
elsa,gait,word_im,male,aehplus,"3,088","  0.21(0.04),p<.01"," -0.11(0.14),p=.44"," -0.00(0.02),p=.94"
elsa,grip,word_de,female,aehplus,"3,511","  0.13(0.03),p<.01"," -0.02(0.57),p=.97","  0.02(0.02),p=.30"
elsa,grip,word_de,male,aehplus,"3,091","  0.05(0.04),p=.20"," -0.48(0.42),p=.26","  0.02(0.02),p=.33"
elsa,grip,word_im,female,aehplus,"3,511","  0.12(0.04),p<.01"," -0.03(0.28),p=.91","  0.02(0.02),p=.49"
elsa,grip,word_im,male,aehplus,"3,091","  0.02(0.04),p=.57"," -0.42(0.34),p=.22","  0.06(0.02),p=.02"
hrs,gait,serial7,female,a,370,"--,p=  ----","--,p=  ----","--,p=  ----"
hrs,gait,serial7,female,aeh,370,"--,p=  ----","--,p=  ----","--,p=  ----"
hrs,gait,serial7,female,aehplus,370,"--,p=  ----","--,p=  ----","--,p=  ----"
hrs,gait,serial7,male,a,318,"--,p=  ----","--,p=  ----","--,p=  ----"
hrs,gait,serial7,male,aeh,318,"--,p=  ----","--,p=  ----","--,p=  ----"
hrs,gait,serial7,male,aehplus,318,"--,p=  ----","--,p=  ----","--,p=  ----"
hrs,gait,tics,female,a,370,"--,p=  ----","--,p=  ----","--,p=  ----"
hrs,gait,tics,female,aeh,370,"--,p=  ----","--,p=  ----","--,p=  ----"
hrs,gait,tics,female,aehplus,370,"--,p=  ----","--,p=  ----","--,p=  ----"
hrs,gait,tics,male,a,318,"--,p=  ----","--,p=  ----","--,p=  ----"
hrs,gait,tics,male,aeh,318,"--,p=  ----","--,p=  ----","--,p=  ----"
hrs,gait,tics,male,aehplus,318,"--,p=  ----","--,p=  ----","--,p=  ----"
hrs,gait,word_de,female,a,370,"--,p=  ----","--,p=  ----","--,p=  ----"
hrs,gait,word_de,female,aeh,370,"--,p=  ----","--,p=  ----","--,p=  ----"
hrs,gait,word_de,female,aehplus,370,"--,p=  ----","--,p=  ----","--,p=  ----"
hrs,gait,word_de,male,a,318,"--,p=  ----","--,p=  ----","--,p=  ----"
hrs,gait,word_de,male,aeh,318,"--,p=  ----","--,p=  ----","--,p=  ----"
hrs,gait,word_de,male,aehplus,318,"--,p=  ----","--,p=  ----","--,p=  ----"
hrs,gait,word_im,female,a,370,"--,p=  ----","--,p=  ----","--,p=  ----"
hrs,gait,word_im,female,aeh,370,"--,p=  ----","--,p=  ----","--,p=  ----"
hrs,gait,word_im,female,aehplus,370,"--,p=  ----","--,p=  ----","--,p=  ----"
hrs,gait,word_im,male,a,318,"--,p=  ----","--,p=  ----","--,p=  ----"
hrs,gait,word_im,male,aeh,318,"--,p=  ----","--,p=  ----","--,p=  ----"
hrs,gait,word_im,male,aehplus,318,"--,p=  ----","--,p=  ----","--,p=  ----"
hrs,grip,serial7,female,a,641,"--,p=  ----","--,p=  ----","--,p=  ----"
hrs,grip,serial7,female,aeh,641,"--,p=  ----","--,p=  ----","--,p=  ----"
hrs,grip,serial7,female,aehplus,641,"--,p=  ----","--,p=  ----","--,p=  ----"
hrs,grip,serial7,male,a,507,"--,p=  ----","--,p=  ----","--,p=  ----"
hrs,grip,serial7,male,aeh,507,"--,p=  ----","--,p=  ----","--,p=  ----"
hrs,grip,serial7,male,aehplus,507,"--,p=  ----","--,p=  ----","--,p=  ----"
hrs,grip,tics,female,a,641,"--,p=  ----","--,p=  ----","--,p=  ----"
hrs,grip,tics,female,aeh,641,"--,p=  ----","--,p=  ----","--,p=  ----"
hrs,grip,tics,female,aehplus,641,"--,p=  ----","--,p=  ----","--,p=  ----"
hrs,grip,tics,male,a,507,"--,p=  ----","--,p=  ----","--,p=  ----"
hrs,grip,tics,male,aeh,507,"--,p=  ----","--,p=  ----","--,p=  ----"
hrs,grip,tics,male,aehplus,507,"--,p=  ----","--,p=  ----","--,p=  ----"
hrs,grip,word_de,female,a,641,"--,p=  ----","--,p=  ----","--,p=  ----"
hrs,grip,word_de,female,aeh,641,"--,p=  ----","--,p=  ----","--,p=  ----"
hrs,grip,word_de,female,aehplus,641,"--,p=  ----","--,p=  ----","--,p=  ----"
hrs,grip,word_de,male,a,507,"--,p=  ----","--,p=  ----","--,p=  ----"
hrs,grip,word_de,male,aeh,507,"--,p=  ----","--,p=  ----","--,p=  ----"
hrs,grip,word_de,male,aehplus,507,"--,p=  ----","--,p=  ----","--,p=  ----"
hrs,grip,word_im,female,a,641,"--,p=  ----","--,p=  ----","--,p=  ----"
hrs,grip,word_im,female,aeh,641,"--,p=  ----","--,p=  ----","--,p=  ----"
hrs,grip,word_im,female,aehplus,641,"--,p=  ----","--,p=  ----","--,p=  ----"
hrs,grip,word_im,male,a,507,"--,p=  ----","--,p=  ----","--,p=  ----"
hrs,grip,word_im,male,aeh,507,"--,p=  ----","--,p=  ----","--,p=  ----"
hrs,grip,word_im,male,aehplus,507,"--,p=  ----","--,p=  ----","--,p=  ----"
hrs,pef,serial7,female,a,715,"--,p=  ----","--,p=  ----","--,p=  ----"
hrs,pef,serial7,female,aeh,715,"--,p=  ----","--,p=  ----","--,p=  ----"
hrs,pef,serial7,female,aehplus,715,"--,p=  ----","--,p=  ----","--,p=  ----"
hrs,pef,serial7,male,a,535,"--,p=  ----","--,p=  ----","--,p=  ----"
hrs,pef,serial7,male,aeh,535,"--,p=  ----","--,p=  ----","--,p=  ----"
hrs,pef,serial7,male,aehplus,535,"--,p=  ----","--,p=  ----","--,p=  ----"
hrs,pef,tics,female,a,715,"--,p=  ----","--,p=  ----","--,p=  ----"
hrs,pef,tics,female,aeh,715,"--,p=  ----","--,p=  ----","--,p=  ----"
hrs,pef,tics,female,aehplus,715,"--,p=  ----","--,p=  ----","--,p=  ----"
hrs,pef,tics,male,a,535,"--,p=  ----","--,p=  ----","--,p=  ----"
hrs,pef,tics,male,aeh,535,"--,p=  ----","--,p=  ----","--,p=  ----"
hrs,pef,tics,male,aehplus,535,"--,p=  ----","--,p=  ----","--,p=  ----"
hrs,pef,word_de,female,a,715,"--,p=  ----","--,p=  ----","--,p=  ----"
hrs,pef,word_de,female,aeh,715,"--,p=  ----","--,p=  ----","--,p=  ----"
hrs,pef,word_de,female,aehplus,715,"--,p=  ----","--,p=  ----","--,p=  ----"
hrs,pef,word_de,male,a,535,"--,p=  ----","--,p=  ----","--,p=  ----"
hrs,pef,word_de,male,aeh,535,"--,p=  ----","--,p=  ----","--,p=  ----"
hrs,pef,word_de,male,aehplus,535,"--,p=  ----","--,p=  ----","--,p=  ----"
hrs,pef,word_im,female,a,715,"--,p=  ----","--,p=  ----","--,p=  ----"
hrs,pef,word_im,female,aeh,715,"--,p=  ----","--,p=  ----","--,p=  ----"
hrs,pef,word_im,female,aehplus,715,"--,p=  ----","--,p=  ----","--,p=  ----"
hrs,pef,word_im,male,a,535,"--,p=  ----","--,p=  ----","--,p=  ----"
hrs,pef,word_im,male,aeh,535,"--,p=  ----","--,p=  ----","--,p=  ----"
hrs,pef,word_im,male,aehplus,535,"--,p=  ----","--,p=  ----","--,p=  ----"
ilse,grip,fluency,female,aehplus,225,"  0.10(0.11),p=.35","  0.58(0.72),p=.43","  0.15(0.08),p=.06"
ilse,grip,fluency,male,aehplus,252,"  0.07(0.10),p=.47","  0.19(0.76),p=.80","  0.21(0.07),p<.01"
ilse,grip,piccomp,female,aehplus,225,"  0.02(0.11),p=.85","  0.32(0.63),p=.61","  0.00(0.08),p=.91"
ilse,grip,piccomp,male,aehplus,252,"  0.20(0.11),p=.06","  0.42(0.41),p=.29","  0.06(0.08),p=.32"
ilse,grip,symbol,female,aehplus,225," -0.25(0.09),p=.01","  0.21(0.30),p=.48"," -0.01(0.07),p=.86"
ilse,grip,symbol,male,aehplus,252," -0.08(0.10),p=.41"," -0.07(0.36),p=.85","  0.06(0.08),p=.40"
ilse,grip,waisgeneral,female,aehplus,225,"  0.03(0.09),p=.75","  0.42(0.42),p=.32"," -0.08(0.08),p=.31"
ilse,grip,waisgeneral,male,aehplus,252,"  0.12(0.11),p=.25","  0.23(1.11),p=.83"," -0.04(0.08),p=.65"
ilse,tug,block,female,a,228,"--,p=  ----","--,p=  ----","--,p=  ----"
ilse,tug,block,female,aeh,226,"--,p=  ----","--,p=  ----","--,p=  ----"
ilse,tug,block,female,aehplus,225,"--,p=  ----","--,p=  ----","--,p=  ----"
ilse,tug,block,male,a,253,"--,p=  ----","--,p=  ----","--,p=  ----"
ilse,tug,block,male,aeh,253,"--,p=  ----","--,p=  ----","--,p=  ----"
ilse,tug,block,male,aehplus,252,"--,p=  ----","--,p=  ----","--,p=  ----"
ilse,tug,fluency,female,a,228,"--,p=  ----","--,p=  ----","--,p=  ----"
ilse,tug,fluency,female,aeh,226,"--,p=  ----","--,p=  ----","--,p=  ----"
ilse,tug,fluency,female,aehplus,225,"--,p=  ----","--,p=  ----","--,p=  ----"
ilse,tug,fluency,male,a,253,"--,p=  ----","--,p=  ----","--,p=  ----"
ilse,tug,fluency,male,aeh,253,"--,p=  ----","--,p=  ----","--,p=  ----"
ilse,tug,piccomp,female,a,228,"--,p=  ----","--,p=  ----","--,p=  ----"
ilse,tug,piccomp,female,aeh,226,"--,p=  ----","--,p=  ----","--,p=  ----"
ilse,tug,piccomp,female,aehplus,225,"--,p=  ----","--,p=  ----","--,p=  ----"
ilse,tug,piccomp,male,a,253,"--,p=  ----","--,p=  ----","--,p=  ----"
ilse,tug,piccomp,male,aeh,253,"--,p=  ----","--,p=  ----","--,p=  ----"
ilse,tug,piccomp,male,aehplus,252,"--,p=  ----","--,p=  ----","--,p=  ----"
ilse,tug,symbol,female,a,228,"--,p=  ----","--,p=  ----","--,p=  ----"
ilse,tug,symbol,female,aeh,226,"--,p=  ----","--,p=  ----","--,p=  ----"
ilse,tug,symbol,female,aehplus,225,"--,p=  ----","--,p=  ----","--,p=  ----"
ilse,tug,symbol,male,a,253,"--,p=  ----","--,p=  ----","--,p=  ----"
ilse,tug,symbol,male,aeh,253,"--,p=  ----","--,p=  ----","--,p=  ----"
ilse,tug,symbol,male,aehplus,252,"--,p=  ----","--,p=  ----","--,p=  ----"
ilse,tug,waisgeneral,female,a,228,"--,p=  ----","--,p=  ----","--,p=  ----"
ilse,tug,waisgeneral,female,aeh,226,"--,p=  ----","--,p=  ----","--,p=  ----"
ilse,tug,waisgeneral,female,aehplus,225,"--,p=  ----","--,p=  ----","--,p=  ----"
ilse,tug,waisgeneral,male,a,253,"--,p=  ----","--,p=  ----","--,p=  ----"
ilse,tug,waisgeneral,male,aeh,253,"--,p=  ----","--,p=  ----","--,p=  ----"
ilse,tug,waisgeneral,male,aehplus,252,"--,p=  ----","--,p=  ----","--,p=  ----"
lasa,gait,letter,female,aehplus,782," -0.32(0.12),p=.01"," -0.24(0.11),p=.02"," -0.05(0.02),p=.02"
lasa,gait,letter,male,aehplus,800," -0.30(0.21),p=.15"," -0.32(0.14),p=.02"," -0.03(0.04),p=.43"
lasa,gait,raven,female,aehplus,782," -0.25(0.15),p=.10"," -0.53(0.18),p<.01","  0.03(0.04),p=.40"
lasa,gait,raven,male,aehplus,800," -0.23(0.19),p=.23"," -0.23(0.16),p=.15","  0.02(0.03),p=.38"
lasa,gait,word_im,female,aehplus,782," -0.31(0.18),p=.08"," -0.28(0.19),p=.13"," -0.02(0.02),p=.21"
lasa,gait,word_im,male,aehplus,800," -0.27(0.20),p=.17","  0.10(0.49),p=.85"," -0.01(0.03),p=.77"
lasa,grip,letter,female,aehplus,782,"  0.03(0.06),p=.59","  0.40(0.93),p=.67","  0.08(0.03),p<.01"
lasa,grip,letter,male,aehplus,800,"  0.10(0.05),p=.05","  0.61(0.41),p=.13","  0.09(0.03),p=.01"
lasa,grip,raven,female,aehplus,782,"  0.03(0.07),p=.66","  0.32(1.66),p=.85","  0.01(0.03),p=.70"
lasa,grip,raven,male,aehplus,800,"  0.17(0.05),p<.01","  0.93(0.69),p=.18","  0.07(0.03),p=.02"
lasa,grip,word_im,female,aehplus,782,"  0.11(0.07),p=.10","  0.23(2.09),p=.91","  0.12(0.03),p<.01"
lasa,grip,word_im,male,aehplus,800,"  0.07(0.06),p=.25","  0.16(0.80),p=.84","  0.14(0.03),p<.01"
lasa,pef,letter,female,aehplus,782,"  0.22(0.04),p<.01"," -0.03(0.30),p=.92","  0.11(0.03),p<.01"
lasa,pef,letter,male,aehplus,800,"  0.16(0.04),p<.01","  0.18(0.12),p=.13","  0.12(0.03),p<.01"
lasa,pef,raven,female,aehplus,782,"  0.29(0.05),p<.01"," -0.14(0.45),p=.75","  0.00(0.03),p=.85"
lasa,pef,raven,male,aehplus,800,"  0.18(0.05),p<.01","  0.54(0.19),p<.01","  0.03(0.03),p=.25"
lasa,pef,word_im,female,aehplus,782,"  0.16(0.05),p<.01","  0.10(0.57),p=.86","  0.14(0.02),p<.01"
lasa,pef,word_im,male,aehplus,800,"  0.10(0.05),p=.04","  0.11(0.44),p=.80","  0.10(0.03),p<.01"
map,fev,bnt,female,a,"1,010","--,p=  ----","--,p=  ----","--,p=  ----"
map,fev,bnt,female,ae,"1,010","--,p=  ----","--,p=  ----","--,p=  ----"
map,fev,bnt,female,aeh,"1,010","--,p=  ----","--,p=  ----","--,p=  ----"
map,fev,bnt,female,aehplus,"1,010","--,p=  ----","--,p=  ----","--,p=  ----"
map,fev,bnt,male,a,351,"--,p=  ----","--,p=  ----","--,p=  ----"
map,fev,bnt,male,ae,351,"--,p=  ----","--,p=  ----","--,p=  ----"
map,fev,bnt,male,aeh,351,"--,p=  ----","--,p=  ----","--,p=  ----"
map,fev,bnt,male,aehplus,351,"--,p=  ----","--,p=  ----","--,p=  ----"
map,fev,bstory_de,female,a,"1,010","--,p=  ----","--,p=  ----","--,p=  ----"
map,fev,bstory_de,female,ae,"1,010","--,p=  ----","--,p=  ----","--,p=  ----"
map,fev,bstory_de,female,aeh,"1,010","--,p=  ----","--,p=  ----","--,p=  ----"
map,fev,bstory_de,female,aehplus,"1,010","--,p=  ----","--,p=  ----","--,p=  ----"
map,fev,bstory_de,male,a,351,"--,p=  ----","--,p=  ----","--,p=  ----"
map,fev,bstory_de,male,ae,351,"--,p=  ----","--,p=  ----","--,p=  ----"
map,fev,bstory_de,male,aeh,351,"--,p=  ----","--,p=  ----","--,p=  ----"
map,fev,bstory_de,male,aehplus,351,"--,p=  ----","--,p=  ----","--,p=  ----"
map,fev,bstory_im,female,a,"1,010","--,p=  ----","--,p=  ----","--,p=  ----"
map,fev,bstory_im,female,ae,"1,010","--,p=  ----","--,p=  ----","--,p=  ----"
map,fev,bstory_im,female,aeh,"1,010","--,p=  ----","--,p=  ----","--,p=  ----"
map,fev,bstory_im,female,aehplus,"1,010","--,p=  ----","--,p=  ----","--,p=  ----"
map,fev,bstory_im,male,a,351,"--,p=  ----","--,p=  ----","--,p=  ----"
map,fev,bstory_im,male,ae,351,"--,p=  ----","--,p=  ----","--,p=  ----"
map,fev,bstory_im,male,aeh,351,"--,p=  ----","--,p=  ----","--,p=  ----"
map,fev,bstory_im,male,aehplus,351,"--,p=  ----","--,p=  ----","--,p=  ----"
map,fev,categories,female,a,"1,010","--,p=  ----","--,p=  ----","--,p=  ----"
map,fev,categories,female,ae,"1,010","--,p=  ----","--,p=  ----","--,p=  ----"
map,fev,categories,female,aeh,"1,010","--,p=  ----","--,p=  ----","--,p=  ----"
map,fev,categories,female,aehplus,"1,010","--,p=  ----","--,p=  ----","--,p=  ----"
map,fev,categories,male,a,351,"--,p=  ----","--,p=  ----","--,p=  ----"
map,fev,categories,male,ae,351,"--,p=  ----","--,p=  ----","--,p=  ----"
map,fev,categories,male,aeh,351,"--,p=  ----","--,p=  ----","--,p=  ----"
map,fev,categories,male,aehplus,351,"--,p=  ----","--,p=  ----","--,p=  ----"
map,fev,digit_b,female,a,"1,010","--,p=  ----","--,p=  ----","--,p=  ----"
map,fev,digit_b,female,ae,"1,010","--,p=  ----","--,p=  ----","--,p=  ----"
map,fev,digit_b,female,aeh,"1,010","--,p=  ----","--,p=  ----","--,p=  ----"
map,fev,digit_b,female,aehplus,"1,010","--,p=  ----","--,p=  ----","--,p=  ----"
map,fev,digit_b,male,a,351,"--,p=  ----","--,p=  ----","--,p=  ----"
map,fev,digit_b,male,ae,351,"--,p=  ----","--,p=  ----","--,p=  ----"
map,fev,digit_b,male,aeh,351,"--,p=  ----","--,p=  ----","--,p=  ----"
map,fev,digit_b,male,aehplus,351,"--,p=  ----","--,p=  ----","--,p=  ----"
map,fev,digit_f,female,a,"1,010","--,p=  ----","--,p=  ----","--,p=  ----"
map,fev,digit_f,female,ae,"1,010","--,p=  ----","--,p=  ----","--,p=  ----"
map,fev,digit_f,female,aeh,"1,010","--,p=  ----","--,p=  ----","--,p=  ----"
map,fev,digit_f,female,aehplus,"1,010","--,p=  ----","--,p=  ----","--,p=  ----"
map,fev,digit_f,male,a,351,"--,p=  ----","--,p=  ----","--,p=  ----"
map,fev,digit_f,male,ae,351,"--,p=  ----","--,p=  ----","--,p=  ----"
map,fev,digit_f,male,aeh,351,"--,p=  ----","--,p=  ----","--,p=  ----"
map,fev,digit_f,male,aehplus,351,"--,p=  ----","--,p=  ----","--,p=  ----"
map,fev,digit_o,female,a,"1,010","--,p=  ----","--,p=  ----","--,p=  ----"
map,fev,digit_o,female,ae,"1,010","--,p=  ----","--,p=  ----","--,p=  ----"
map,fev,digit_o,female,aeh,"1,010","--,p=  ----","--,p=  ----","--,p=  ----"
map,fev,digit_o,female,aehplus,"1,010","--,p=  ----","--,p=  ----","--,p=  ----"
map,fev,digit_o,male,a,351,"--,p=  ----","--,p=  ----","--,p=  ----"
map,fev,digit_o,male,ae,351,"--,p=  ----","--,p=  ----","--,p=  ----"
map,fev,digit_o,male,aeh,351,"--,p=  ----","--,p=  ----","--,p=  ----"
map,fev,digit_o,male,aehplus,351,"--,p=  ----","--,p=  ----","--,p=  ----"
map,fev,ideas,female,a,"1,010","--,p=  ----","--,p=  ----","--,p=  ----"
map,fev,ideas,female,ae,"1,010","--,p=  ----","--,p=  ----","--,p=  ----"
map,fev,ideas,female,aeh,"1,010","--,p=  ----","--,p=  ----","--,p=  ----"
map,fev,ideas,female,aehplus,"1,010","--,p=  ----","--,p=  ----","--,p=  ----"
map,fev,ideas,male,a,351,"--,p=  ----","--,p=  ----","--,p=  ----"
map,fev,ideas,male,ae,351,"--,p=  ----","--,p=  ----","--,p=  ----"
map,fev,ideas,male,aeh,351,"--,p=  ----","--,p=  ----","--,p=  ----"
map,fev,ideas,male,aehplus,351,"--,p=  ----","--,p=  ----","--,p=  ----"
map,fev,line,female,a,"1,010","--,p=  ----","--,p=  ----","--,p=  ----"
map,fev,line,female,ae,"1,010","--,p=  ----","--,p=  ----","--,p=  ----"
map,fev,line,female,aeh,951,"--,p=  ----","--,p=  ----","--,p=  ----"
map,fev,line,female,aehplus,"1,010","--,p=  ----","--,p=  ----","--,p=  ----"
map,fev,line,male,a,351,"--,p=  ----","--,p=  ----","--,p=  ----"
map,fev,line,male,ae,351,"--,p=  ----","--,p=  ----","--,p=  ----"
map,fev,line,male,aeh,327,"--,p=  ----","--,p=  ----","--,p=  ----"
map,fev,line,male,aehplus,351,"--,p=  ----","--,p=  ----","--,p=  ----"
map,fev,logic_de,female,a,"1,010","--,p=  ----","--,p=  ----","--,p=  ----"
map,fev,logic_de,female,ae,"1,010","--,p=  ----","--,p=  ----","--,p=  ----"
map,fev,logic_de,female,aeh,"1,010","--,p=  ----","--,p=  ----","--,p=  ----"
map,fev,logic_de,female,aehplus,"1,010","--,p=  ----","--,p=  ----","--,p=  ----"
map,fev,logic_de,male,a,351,"--,p=  ----","--,p=  ----","--,p=  ----"
map,fev,logic_de,male,ae,351,"--,p=  ----","--,p=  ----","--,p=  ----"
