"model_number","version","active","valid","best_in_gender","study_name","date","time","converged","subgroup","model_type","physical_outcome","var_int_physical","se_int_physical","var_slope_physical","se_slope_physical","var_residual_physical","se_residual_physical","cognitive_outcome","var_int_cog","se_int_cog","var_slope_cog","se_slope_cog","var_residual_cog","se_residual_cog","cov_int","cov_slope","cov_residual","p_cov_int","p_cov_slope","p_cov_res","subject_count","wave_count","datapoint_count","parameter_count","deviance","software","output_file","model_description","results_descriptions","notes","data_file","physical_specific","cognitive_specific","LL","aic","bic","adj_bic","aaic","se_cov_int","se_cov_slope","se_cov_residual"
"b1","0.1",NA,NA,NA,"habc","02/24/2015"," 1:48 PM",TRUE,"female","aeh","muscle",22.977,1.523,0.107,0.03,9.806,0.754,"mental",24.96,2.953,1.123,0.23,23.457,1.498,-0.292,0.158,0.708,0.773,0,0.166,1578,11,NA,29,NA,"Mplus VERSION 7.2 (Mac)","b1_female_aeh_muscle_mental_hand_3ms.out","??",NA,NA," ""/Users/qingqingzhang/Dropbox/IALSA/Data/HABC-9999.dta.dat""","hand","3ms",-42438.458,84934.917,85090.47,84998.343,84936.0410310078,1.013,0.037,0.512
"b1","0.1",NA,NA,NA,"habc","02/24/2015"," 1:47 PM",TRUE,"female","aeh","muscle",23.036,1.529,0.1,0.029,9.813,0.753,"mental",2.299,0.397,0.016,0.008,2.262,0.108,0.7,0.013,0.515,0.086,0.049,0.003,1575,10,NA,29,NA,"Mplus VERSION 7.2 (Mac)","b1_female_aeh_muscle_mental_hand_clock.out","??",NA,NA," ""/Users/qingqingzhang/Dropbox/IALSA/Data/HABC-9999.dta.dat""","hand","clock",-28802.955,57663.909,57819.408,57727.281,57665.0352135922,0.407,0.007,0.172
"b1","0.1",NA,NA,NA,"habc","02/24/2015"," 1:48 PM",TRUE,"female","aeh","muscle",22.998,1.53,0.102,0.03,9.809,0.752,"speed",120.465,6.275,0.699,0.092,34.09,1.932,-3.744,0.095,0.887,0.036,0,0.13,1578,11,NA,29,NA,"Mplus VERSION 7.2 (Mac)","b1_female_aeh_muscle_speed_hand_digitsymbol.out","??",NA,NA," ""/Users/qingqingzhang/Dropbox/IALSA/Data/HABC-9999.dta.dat""","hand","digitsymbol",-38953.63,77965.26,78120.814,78028.687,77966.3840310078,1.784,0.026,0.585
"b1","0.1",NA,NA,NA,"habc","02/24/2015"," 1:50 PM",TRUE,"female","aeh","walking",0.031,0.002,0,0,0.014,0,"mental",25.177,2.987,1.162,0.239,23.318,1.493,0.247,0.009,-0.002,0,0,0.898,1578,11,NA,29,NA,"Mplus VERSION 7.2 (Mac)","b1_female_aeh_walking_mental_gait_3ms.out","??",NA,NA," ""/Users/qingqingzhang/Dropbox/IALSA/Data/HABC-9999.dta.dat""","gait","3ms",-18229.183,36516.366,36671.919,36579.792,36517.4900310078,0.041,0.002,0.013
"b1","0.1",NA,NA,NA,"habc","02/24/2015"," 1:49 PM",TRUE,"female","aeh","walking",0.031,0.002,0,0,0.013,0,"mental",2.283,0.395,0.017,0.008,2.259,0.108,0.03,0.001,0.005,0.041,0.004,0.195,1552,10,NA,29,NA,"Mplus VERSION 7.2 (Mac)","b1_female_aeh_walking_mental_gait_clock.out","??",NA,NA," ""/Users/qingqingzhang/Dropbox/IALSA/Data/HABC-9999.dta.dat""","gait","clock",-4725.009,9508.018,9663.089,9570.963,9509.1612325887,0.015,0,0.004
"b1","0.1",NA,NA,NA,"habc","02/24/2015"," 1:50 PM",TRUE,"female","aeh","walking",0.035,0.002,0,0,0.012,0,"speed",119.384,6.234,0.696,0.09,34.221,1.942,0.652,0.006,0.055,0,0,0,1575,11,NA,29,NA,"Mplus VERSION 7.2 (Mac)","b1_female_aeh_walking_speed_gait_digitsymbol.out","??",NA,NA," ""/Users/qingqingzhang/Dropbox/IALSA/Data/HABC-9999.dta.dat""","gait","digitsymbol",-14341.574,28741.149,28896.647,28804.52,28742.2752135922,0.072,0.001,0.014
"b1","0.1",NA,NA,NA,"habc","02/27/2015","12:01 PM",TRUE,"female","aehplus","muscle",22.77,1.553,0.107,0.03,9.855,0.769,"mental",23.805,2.872,1.163,0.24,23.252,1.512,-0.485,0.159,0.674,0.627,0,0.188,1538,11,NA,41,NA,"Mplus VERSION 7.11","b1_female_aehplus_muscle_mental_hand_3ms.out","??",NA,NA," ""C:\Users\wuche\Dropbox\IALSA\Data\HABC-9999.dta.dat""","hand","3ms",-41380.467,82842.934,83061.802,82931.555,82845.2361390374,0.999,0.037,0.513
"b1","0.1",NA,NA,NA,"habc","02/27/2015","11:57 AM",TRUE,"female","aehplus","muscle",22.832,1.561,0.101,0.03,9.862,0.768,"mental",2.25,0.403,0.015,0.008,2.282,0.11,0.644,0.013,0.528,0.115,0.069,0.003,1535,10,NA,41,NA,"Mplus VERSION 7.11","b1_female_aehplus_muscle_mental_hand_clock.out","??",NA,NA," ""C:\Users\wuche\Dropbox\IALSA\Data\HABC-9999.dta.dat""","hand","clock",-28108.923,56299.847,56518.635,56388.388,56302.1537649029,0.409,0.007,0.176
"b1","0.1",NA,NA,NA,"habc","02/27/2015","12:01 PM",TRUE,"female","aehplus","muscle",22.804,1.561,0.102,0.03,9.856,0.767,"speed",118.009,6.275,0.675,0.091,34.36,1.971,-4.094,0.092,0.799,0.02,0,0.181,1538,11,NA,41,NA,"Mplus VERSION 7.11","b1_female_aehplus_muscle_speed_hand_digitsymbol.out","??",NA,NA," ""C:\Users\wuche\Dropbox\IALSA\Data\HABC-9999.dta.dat""","hand","digitsymbol",-38001.942,76085.885,76304.753,76174.506,76088.1871390374,1.762,0.026,0.598
"b1","0.1",NA,NA,NA,"habc","02/27/2015","12:02 PM",TRUE,"female","aehplus","walking",0.03,0.002,0,0,0.014,0,"mental",24.016,2.906,1.202,0.248,23.121,1.507,0.217,0.009,-0.001,0,0,0.932,1538,11,NA,41,NA,"Mplus VERSION 7.11","b1_female_aehplus_walking_mental_gait_3ms.out","??",NA,NA," ""C:\Users\wuche\Dropbox\IALSA\Data\HABC-9999.dta.dat""","gait","3ms",-17730.832,35543.665,35762.533,35632.286,35545.9671390374,0.04,0.002,0.013
"b1","0.1",NA,NA,NA,"habc","02/27/2015","12:02 PM",TRUE,"female","aehplus","walking",0.03,0.002,0,0,0.014,0,"mental",2.232,0.402,0.015,0.008,2.281,0.11,0.031,0.001,0.005,0.036,0.006,0.199,1513,10,NA,41,NA,"Mplus VERSION 7.11","b1_female_aehplus_walking_mental_gait_clock.out","??",NA,NA," ""C:\Users\wuche\Dropbox\IALSA\Data\HABC-9999.dta.dat""","gait","clock",-4577.449,9236.898,9455.094,9324.848,9239.23926444595,0.015,0,0.004
"b1","0.1",NA,NA,NA,"habc","02/27/2015","12:02 PM",TRUE,"female","aehplus","walking",0.034,0.002,0,0,0.012,0,"speed",117.016,6.245,0.673,0.089,34.492,1.981,0.598,0.005,0.059,0,0,0,1535,11,NA,41,NA,"Mplus VERSION 7.11","b1_female_aehplus_walking_speed_gait_digitsymbol.out","??",NA,NA," ""C:\Users\wuche\Dropbox\IALSA\Data\HABC-9999.dta.dat""","gait","digitsymbol",-13962.256,28006.513,28225.3,28095.053,28008.8197649029,0.071,0.001,0.014
"b1","0.1",NA,NA,NA,"habc","02/24/2015","10:30 AM",TRUE,"female","age","muscle",28.297,1.668,0.108,0.03,9.833,0.754,"mental",43.084,4.587,1.146,0.224,23.462,1.488,-3.935,0.148,0.689,0.003,0,0.189,1584,11,NA,21,NA,"Mplus VERSION 7.2 (Mac)","b1_female_age_muscle_mental_hand_3ms.out","??",NA,NA," ""/Users/qingqingzhang/Dropbox/IALSA/Data/HABC-9999.dta.dat""","hand","3ms",-43005.408,86052.815,86165.537,86098.825,86053.4065492958,1.329,0.035,0.524
"b1","0.1",NA,NA,NA,"habc","02/24/2015","10:33 AM",TRUE,"female","age","muscle",28.352,1.672,0.103,0.029,9.839,0.753,"mental",2.816,0.42,0.017,0.008,2.255,0.108,0.187,0.014,0.523,0.688,0.039,0.002,1581,10,NA,21,NA,"Mplus VERSION 7.2 (Mac)","b1_female_age_muscle_mental_hand_clock.out","??",NA,NA," ""/Users/qingqingzhang/Dropbox/IALSA/Data/HABC-9999.dta.dat""","hand","clock",-29165.304,58372.607,58485.289,58418.577,58373.1996876203,0.467,0.007,0.172
"b1","0.1",NA,NA,NA,"habc","02/24/2015","10:35 AM",TRUE,"female","age","muscle",28.318,1.673,0.104,0.03,9.835,0.752,"speed",177.18,7.98,0.701,0.092,34.117,1.931,-12.417,0.091,0.901,0,0,0.125,1584,11,NA,21,NA,"Mplus VERSION 7.2 (Mac)","b1_female_age_muscle_speed_hand_digitsymbol.out","??",NA,NA," ""/Users/qingqingzhang/Dropbox/IALSA/Data/HABC-9999.dta.dat""","hand","digitsymbol",-39476.336,78994.673,79107.395,79040.682,78995.2645492958,2.27,0.026,0.587
"b1","0.1",NA,NA,NA,"habc","02/24/2015","10:24 AM",TRUE,"female","age","walking",0.035,0.002,0,0,0.014,0,"mental",43.294,4.661,1.182,0.232,23.34,1.486,0.497,0.009,0.004,0,0,0.77,1584,11,NA,21,NA,"Mplus VERSION 7.2 (Mac)","b1_female_age_walking_mental_gait_3ms.out","??",NA,NA," ""/Users/qingqingzhang/Dropbox/IALSA/Data/HABC-9999.dta.dat""","gait","3ms",-18597.884,37237.768,37350.49,37283.777,37238.3595492958,0.054,0.002,0.014
"b1","0.1",NA,NA,NA,"habc","02/24/2015","10:36 AM",TRUE,"female","age","walking",0.034,0.002,0,0,0.014,0,"mental",2.814,0.42,0.017,0.008,2.252,0.108,0.07,0.001,0.005,0,0.003,0.238,1558,10,NA,21,NA,"Mplus VERSION 7.2 (Mac)","b1_female_age_walking_mental_gait_clock.out","??",NA,NA," ""/Users/qingqingzhang/Dropbox/IALSA/Data/HABC-9999.dta.dat""","gait","clock",-4919.207,9880.414,9992.788,9926.076,9881.0155625,0.016,0,0.004
"b1","0.1",NA,NA,NA,"habc","02/24/2015","10:38 AM",TRUE,"female","age","walking",0.039,0.002,0,0,0.012,0,"speed",175.587,7.939,0.7,0.09,34.256,1.941,1.098,0.006,0.057,0,0,0,1581,11,NA,21,NA,"Mplus VERSION 7.2 (Mac)","b1_female_age_walking_speed_gait_digitsymbol.out","??",NA,NA," ""/Users/qingqingzhang/Dropbox/IALSA/Data/HABC-9999.dta.dat""","gait","digitsymbol",-14668.262,29378.524,29491.206,29424.493,29379.1166876203,0.087,0.001,0.014
"b1","0.1",NA,NA,NA,"habc","02/27/2015","12:36 PM",TRUE,"female","full","muscle",19.657,1.388,0.088,0.028,9.847,0.772,"mental",19.724,2.749,1.021,0.235,23.621,1.558,1.793,0.113,0.569,0.059,0.001,0.263,1536,11,NA,53,NA,"Mplus VERSION 7.11","b1_female_full_muscle_mental_hand_3ms.out","??",NA,NA," ""\Users\wuche\Dropbox\IALSA\Data\HABC-9999.dta.dat""","hand","3ms",-41108.406,82322.812,82605.67,82437.302,82326.6743481781,0.95,0.035,0.509
"b1","0.1",NA,NA,NA,"habc","02/27/2015","12:36 PM",TRUE,"female","full","muscle",19.704,1.39,0.083,0.027,9.857,0.773,"mental",2.169,0.398,0.014,0.008,2.286,0.11,0.905,0.009,0.523,0.016,0.168,0.003,1533,10,NA,53,NA,"Mplus VERSION 7.11","b1_female_full_muscle_mental_hand_clock.out","??",NA,NA," ""\Users\wuche\Dropbox\IALSA\Data\HABC-9999.dta.dat""","hand","clock",-27939.428,55984.857,56267.611,56099.243,55988.7271825558,0.376,0.007,0.177
"b1","0.1",NA,NA,NA,"habc","02/27/2015","12:37 PM",TRUE,"female","full","muscle",19.681,1.393,0.084,0.028,9.851,0.772,"speed",96.392,5.913,0.661,0.09,34.439,1.979,3.189,0.084,0.703,0.04,0.001,0.231,1536,11,NA,53,NA,"Mplus VERSION 7.11","b1_female_full_muscle_speed_hand_digitsymbol.out","??",NA,NA," ""\Users\wuche\Dropbox\IALSA\Data\HABC-9999.dta.dat""","hand","digitsymbol",-37696.856,75499.712,75782.57,75614.202,75503.5743481781,1.553,0.026,0.588
"b1","0.1",NA,NA,NA,"habc","02/27/2015","12:37 PM",TRUE,"female","full","walking",0.026,0.001,0,0,0.014,0,"mental",19.906,2.78,1.066,0.244,23.457,1.55,0.105,0.008,-0.002,0.003,0,0.905,1536,11,NA,53,NA,"Mplus VERSION 7.11","b1_female_full_walking_mental_gait_3ms.out","??",NA,NA," ""\Users\wuche\Dropbox\IALSA\Data\HABC-9999.dta.dat""","gait","3ms",-17545.948,35197.896,35480.754,35312.386,35201.7583481781,0.035,0.002,0.013
"b1","0.1",NA,NA,NA,"habc","02/27/2015","12:38 PM",TRUE,"female","full","walking",0.026,0.001,0,0,0.014,0,"mental",2.148,0.396,0.014,0.008,2.285,0.11,0.02,0.001,0.005,0.164,0.012,0.196,1511,10,NA,53,NA,"Mplus VERSION 7.11","b1_female_full_walking_mental_gait_clock.out","??",NA,NA," ""\Users\wuche\Dropbox\IALSA\Data\HABC-9999.dta.dat""","gait","clock",-4467.645,9041.289,9323.277,9154.91,9045.21762045299,0.014,0,0.004
"b1","0.1",NA,NA,NA,"habc","02/27/2015","12:38 PM",TRUE,"female","full","walking",0.031,0.002,0,0,0.012,0,"speed",95.535,5.895,0.663,0.089,34.54,1.987,0.335,0.005,0.058,0,0,0,1533,11,NA,53,NA,"Mplus VERSION 7.11","b1_female_full_walking_speed_gait_digitsymbol.out","??",NA,NA," ""\Users\wuche\Dropbox\IALSA\Data\HABC-9999.dta.dat""","gait","digitsymbol",-13766.153,27638.307,27921.061,27752.693,27642.1771825558,0.062,0.001,0.014
"b1","0.1",NA,NA,NA,"habc","02/24/2015"," 1:52 PM",TRUE,"male","aeh","muscle",46.2,2.219,0.136,0.038,18.722,0.976,"mental",28.506,3.596,0.871,0.214,24.244,1.417,-0.372,0.215,0.241,0.791,0,0.743,1489,11,NA,29,NA,"Mplus VERSION 7.2 (Mac)","b1_male_aeh_muscle_mental_hand_3ms.out","??",NA,NA," ""/Users/qingqingzhang/Dropbox/IALSA/Data/HABC-9999.dta.dat""","hand","3ms",-40753.046,81564.093,81717.963,81625.838,81565.2855976696,1.407,0.046,0.736
"b1","0.1",NA,NA,NA,"habc","02/24/2015"," 1:51 PM",TRUE,"male","aeh","muscle",46.195,2.221,0.121,0.036,18.708,0.973,"mental",2.924,0.548,0.018,0.011,3.618,0.159,-0.478,0.001,0.813,0.518,0.897,0.011,1489,10,NA,29,NA,"Mplus VERSION 7.2 (Mac)","b1_male_aeh_muscle_mental_hand_clock.out","??",NA,NA," ""/Users/qingqingzhang/Dropbox/IALSA/Data/HABC-9999.dta.dat""","hand","clock",-29195.174,58448.348,58602.218,58510.093,58449.5405976696,0.739,0.01,0.32
"b1","0.1",NA,NA,NA,"habc","02/24/2015"," 1:51 PM",TRUE,"male","aeh","muscle",46.077,2.21,0.118,0.035,18.721,0.979,"speed",105.575,6.371,0.439,0.082,33.421,2.463,-6.132,0.069,1.226,0.012,0.014,0.097,1488,11,NA,29,NA,"Mplus VERSION 7.2 (Mac)","b1_male_aeh_muscle_speed_hand_digitsymbol.out","??",NA,NA," ""/Users/qingqingzhang/Dropbox/IALSA/Data/HABC-9999.dta.dat""","hand","digitsymbol",-37183.575,74425.15,74579,74486.876,74426.3434156378,2.451,0.028,0.738
"b1","0.1",NA,NA,NA,"habc","02/24/2015"," 1:53 PM",TRUE,"male","aeh","walking",0.03,0.002,0,0,0.017,0.001,"mental",28.459,3.573,0.873,0.218,24.255,1.417,0.15,0.007,-0.009,0,0,0.546,1489,11,NA,29,NA,"Mplus VERSION 7.2 (Mac)","b1_male_aeh_walking_mental_gait_3ms.out","??",NA,NA," ""/Users/qingqingzhang/Dropbox/IALSA/Data/HABC-9999.dta.dat""","gait","3ms",-16913.855,33885.709,34039.579,33947.454,33886.9015976696,0.041,0.002,0.015
"b1","0.1",NA,NA,NA,"habc","02/24/2015"," 1:53 PM",TRUE,"male","aeh","walking",0.029,0.002,0,0,0.017,0.001,"mental",2.895,0.545,0.017,0.011,3.621,0.159,0.011,0,0.002,0.525,0.19,0.767,1471,10,NA,29,NA,"Mplus VERSION 7.2 (Mac)","b1_male_aeh_walking_mental_gait_clock.out","??",NA,NA," ""/Users/qingqingzhang/Dropbox/IALSA/Data/HABC-9999.dta.dat""","gait","clock",-5583.155,11224.311,11377.828,11285.704,11225.5184947953,0.018,0,0.007
"b1","0.1",NA,NA,NA,"habc","02/24/2015"," 1:54 PM",TRUE,"male","aeh","walking",0.034,0.002,0,0,0.015,0.001,"speed",105.419,6.339,0.439,0.081,33.388,2.459,0.57,0.005,0.013,0,0,0.406,1485,11,NA,29,NA,"Mplus VERSION 7.2 (Mac)","b1_male_aeh_walking_speed_gait_digitsymbol.out","??",NA,NA," ""/Users/qingqingzhang/Dropbox/IALSA/Data/HABC-9999.dta.dat""","gait","digitsymbol",-13053.338,26164.677,26318.469,26226.344,26165.8728762887,0.072,0.001,0.016
"b1","0.1",NA,NA,NA,"habc","02/27/2015","12:03 PM",TRUE,"male","aehplus","muscle",45.694,2.213,0.136,0.038,18.787,0.989,"mental",28.169,3.596,0.844,0.214,24.333,1.438,-0.594,0.21,0.32,0.674,0,0.669,1464,11,NA,41,NA,"Mplus VERSION 7.11","b1_male_aehplus_muscle_mental_hand_3ms.out","??",NA,NA," ""C:\Users\wuche\Dropbox\IALSA\Data\HABC-9999.dta.dat""","hand","3ms",-40141.55,80365.1,80581.946,80451.701,80367.5219409283,1.415,0.046,0.749
"b1","0.1",NA,NA,NA,"habc","02/27/2015","12:03 PM",TRUE,"male","aehplus","muscle",45.679,2.216,0.122,0.037,18.776,0.985,"mental",2.895,0.55,0.017,0.011,3.63,0.16,-0.514,0.002,0.812,0.486,0.833,0.013,1464,10,NA,41,NA,"Mplus VERSION 7.11","b1_male_aehplus_muscle_mental_hand_clock.out","??",NA,NA," ""C:\Users\wuche\Dropbox\IALSA\Data\HABC-9999.dta.dat""","hand","clock",-28767.292,57616.585,57833.431,57703.187,57619.0069409283,0.738,0.01,0.326
"b1","0.1",NA,NA,NA,"habc","02/27/2015","12:03 PM",TRUE,"male","aehplus","muscle",45.596,2.206,0.119,0.036,18.789,0.992,"speed",104.986,6.393,0.447,0.082,33.03,2.467,-7.06,0.072,1.102,0.004,0.01,0.135,1463,11,NA,41,NA,"Mplus VERSION 7.11","b1_male_aehplus_muscle_speed_hand_digitsymbol.out","??",NA,NA," ""C:\Users\wuche\Dropbox\IALSA\Data\HABC-9999.dta.dat""","hand","digitsymbol",-36613.032,73308.065,73524.883,73394.638,73310.4886453202,2.471,0.028,0.737
"b1","0.1",NA,NA,NA,"habc","02/27/2015","12:04 PM",TRUE,"male","aehplus","walking",0.029,0.002,0,0,0.017,0.001,"mental",28.141,3.573,0.848,0.219,24.332,1.437,0.159,0.006,-0.008,0,0,0.627,1464,11,NA,41,NA,"Mplus VERSION 7.11","b1_male_aehplus_walking_mental_gait_3ms.out","??",NA,NA," ""C:\Users\wuche\Dropbox\IALSA\Data\HABC-9999.dta.dat""","gait","3ms",-16602.452,33286.904,33503.75,33373.506,33289.3259409283,0.041,0.002,0.016
"b1","0.1",NA,NA,NA,"habc","02/27/2015","12:04 PM",TRUE,"male","aehplus","walking",0.028,0.002,0,0,0.017,0.001,"mental",2.865,0.548,0.016,0.011,3.634,0.161,0.007,0,0.003,0.709,0.268,0.655,1446,10,NA,41,NA,"Mplus VERSION 7.11","b1_male_aehplus_walking_mental_gait_clock.out","??",NA,NA," ""C:\Users\wuche\Dropbox\IALSA\Data\HABC-9999.dta.dat""","gait","clock",-5455.994,10993.987,11210.326,11080.083,10996.439991453,0.018,0,0.007
"b1","0.1",NA,NA,NA,"habc","02/27/2015","12:04 PM",TRUE,"male","aehplus","walking",0.033,0.002,0,0,0.015,0.001,"speed",104.867,6.359,0.447,0.081,32.996,2.463,0.547,0.005,0.015,0,0,0.339,1460,11,NA,41,NA,"Mplus VERSION 7.11","b1_male_aehplus_walking_speed_gait_digitsymbol.out","??",NA,NA," ""C:\Users\wuche\Dropbox\IALSA\Data\HABC-9999.dta.dat""","gait","digitsymbol",-12803.012,25688.025,25904.759,25774.515,25690.4537729196,0.072,0.001,0.016
"b1","0.1",NA,NA,NA,"habc","02/24/2015","10:30 AM",TRUE,"male","age","muscle",53.9,2.491,0.137,0.037,18.713,0.977,"mental",52.025,5.127,0.902,0.211,24.229,1.427,-4.267,0.208,0.279,0.018,0,0.711,1491,11,NA,21,NA,"Mplus VERSION 7.2 (Mac)","b1_male_age_muscle_mental_hand_3ms.out","??",NA,NA," ""/Users/qingqingzhang/Dropbox/IALSA/Data/HABC-9999.dta.dat""","hand","3ms",-41239.054,82520.108,82631.559,82564.848,82520.7369993193,1.803,0.044,0.754
"b1","0.1",NA,NA,NA,"habc","02/24/2015","10:33 AM",TRUE,"male","age","muscle",53.865,2.493,0.126,0.036,18.703,0.972,"mental",3.353,0.582,0.021,0.012,3.606,0.159,-1.084,0.002,0.806,0.17,0.855,0.011,1491,10,NA,21,NA,"Mplus VERSION 7.2 (Mac)","b1_male_age_muscle_mental_hand_clock.out","??",NA,NA," ""/Users/qingqingzhang/Dropbox/IALSA/Data/HABC-9999.dta.dat""","hand","clock",-29406.568,58855.135,58966.586,58899.875,58855.7639993193,0.79,0.011,0.318
"b1","0.1",NA,NA,NA,"habc","02/24/2015","10:27 AM",TRUE,"male","age","muscle",53.813,2.489,0.123,0.035,18.72,0.98,"speed",180.764,8.369,0.454,0.084,33.373,2.46,-12.728,0.063,1.156,0,0.023,0.115,1490,11,NA,21,NA,"Mplus VERSION 7.2 (Mac)","b1_male_age_muscle_speed_hand_digitsymbol.out","??",NA,NA," ""/Users/qingqingzhang/Dropbox/IALSA/Data/HABC-9999.dta.dat""","hand","digitsymbol",-37669.36,75380.72,75492.157,75425.446,75381.3494277929,3.142,0.028,0.732
"b1","0.1",NA,NA,NA,"habc","02/24/2015","10:25 AM",TRUE,"male","age","walking",0.035,0.002,0,0,0.017,0.001,"mental",51.913,5.106,0.899,0.215,24.276,1.432,0.486,0.006,-0.006,0,0.001,0.694,1491,11,NA,21,NA,"Mplus VERSION 7.2 (Mac)","b1_male_age_walking_mental_gait_3ms.out","??",NA,NA," ""/Users/qingqingzhang/Dropbox/IALSA/Data/HABC-9999.dta.dat""","gait","3ms",-17306.13,34654.261,34765.712,34699.001,34654.8899993193,0.056,0.002,0.016
"b1","0.1",NA,NA,NA,"habc","02/24/2015","10:27 AM",TRUE,"male","age","walking",0.034,0.002,0,0,0.017,0.001,"mental",3.291,0.576,0.019,0.011,3.61,0.159,0.047,0,0.005,0.016,0.352,0.489,1473,10,NA,21,NA,"Mplus VERSION 7.2 (Mac)","b1_male_age_walking_mental_gait_clock.out","??",NA,NA," ""/Users/qingqingzhang/Dropbox/IALSA/Data/HABC-9999.dta.dat""","gait","clock",-5738.223,11518.445,11629.641,11562.931,11519.0818022054,0.02,0,0.007
